13.4	19.5	20.8	82
13.1	19.1	20.7	79
12.9	18.9	20.6	78
13	18.9	20.6	78
13.1	19.1	20.5	81
13.4	19.3	20.4	84
13.3	19.2	20.3	84
13.3	19.2	20.3	84
12.8	19.1	20.2	85
12.7	18.7	20.2	80
12.7	18.5	20.1	78
12.4	18.4	20.1	78
11.9	18.4	20	80
11.7	18.1	20	77
11.8	18.1	19.9	78
11.5	18	19.9	77
11.7	18	19.8	78
12.1	18.1	19.8	78
12.1	18.1	19.7	79
11.9	18.1	19.7	79
11.7	18	19.7	79
11.6	17.9	19.7	78
11.9	18	19.7	78
12	18	19.7	78
11.7	17.8	19.7	76
12	18	19.7	78
12	17.9	19.7	77
11.8	17.9	19.8	76
11.8	17.9	19.8	76
11.8	18	19.8	78
11.6	18	19.8	78
11.2	17.9	19.8	78
11.1	17.7	19.8	76
10.7	17.7	19.8	77
10.9	17.7	19.8	76
10.6	17.6	19.7	77
10.4	17.4	19.7	75
10.3	17.4	19.7	76
10.1	17.4	19.7	76
10.2	17.3	19.6	76
9.8	17.2	19.6	76
9.5	17	19.5	75
9.8	17	19.5	74
10.3	17.2	19.4	76
9.6	17.1	19.4	77
9.9	17	19.4	75
10	17	19.4	74
10	17.1	19.4	76
9.6	17	19.4	76
9.7	17	19.4	75
9.5	16.9	19.4	75
10	17.1	19.4	76
10	17.2	19.4	77
10.5	17.3	19.4	76
10.4	17.3	19.4	77
10.5	17.5	19.4	79
10.7	17.5	19.4	78
10.5	17.3	19.4	76
12.2	18.1	19.4	82
12.6	18.2	19.4	82
12.7	18.2	19.4	82
13.4	18.2	19.4	80
13.5	18.4	19.5	82
13.3	18.3	19.5	81
12.9	18.2	19.5	80
12.7	18.1	19.5	79
12.7	18.1	19.5	79
12.4	17.9	19.5	77
12	17.8	19.5	77
12.1	17.8	19.4	78
11.8	17.7	19.4	78
12	17.7	19.4	77
11.8	17.7	19.4	78
11.7	17.6	19.4	77
11.6	17.6	19.3	78
11.7	17.4	19	78
11.4	17.4	19.1	78
11.6	17.3	19.2	75
11.6	17.4	19.2	76
11.4	17.4	19.3	76
11.4	17.3	19.3	75
11.5	17.3	19.2	75
11.5	17.3	19.2	75
11.5	17.3	19.2	75
11.5	17.3	19.1	76
11.5	17.3	19	77
11.2	17.1	19	76
11.2	17.6	19.7	75
11.1	17.7	19.7	77
10.9	17.6	19.7	76
10.8	17.5	19.6	76
10.8	17.5	19.5	77
10.7	17.4	19.4	77
10.7	17.4	19.4	77
10.7	17.3	19.3	77
10.6	17.3	19.2	78
10.5	17.2	19.2	77
10.3	17.1	19.1	77
10	17	19	78
9.5	16.7	19	76
9.7	16.6	18.9	75
9.2	16.5	18.8	76
9.1	16.3	18.8	74
9.1	16.1	18.7	73
8.1	15.9	18.6	74
7.9	15.8	18.6	74
7.7	15.7	18.5	74
7.7	15.6	18.4	74
7.7	15.4	18.3	73
7.7	15.5	18.3	74
7.1	15.4	18.3	74
7.2	15.3	18.3	73
7.5	15.3	18.2	73
7	15.3	18.2	74
6.7	15.3	18.2	75
7.1	15.3	18.2	74
